Provinsi;SD;SMP;SMA;SMK;GURU SD;GURU SMP;GURU SMA;GURU SMK
Aceh;3945;1176;528;217;49229;23974;14675;6728
Sumatera Utara;9756;2606;1074;975;112905;46709;24285;21792
Sumatera Barat;4225;833;330;211;46936;18573;11497;7896
Riau;3714;1202;448;293;52514;20642;11841;8232
Jambi;2452;680;234;176;28033;11558;6047;4446
Sumatera Selatan;4691;1362;592;294;60152;26636;14473;7927
Bengkulu;1391;430;140;105;16083;7689;4219;3022
Lampung;4726;1376;504;484;57814;24257;11731;11126
Bangka Belitung;822;218;69;58;9831;3791;1813;1786
Kepulauan Riau;963;386;143;109;14732;6267;3408;2564
Jakarta Raya;2491;1127;501;581;43277;21033;12053;12731
Jawa Barat;19577;5456;1648;2898;222111;96457;38980;59518
Jawa Tengah;18869;3350;852;1555;183399;73619;26738;47996
Yogyakarta;1841;446;166;216;21267;9413;4766;7310
Jawa Timur;19092;4774;1523;2103;200976;83766;32915;45729
Banten;4643;1515;572;727;59025;22967;11317;12999
Bali ;2441;414;160;165;27034;11939;5700;6057
Nusa Tenggara Barat;3234;964;324;317;40660;19761;9177;7374
Nusa Tenggara Timur;5158;1751;550;292;54643;28947;15101;7814
Kalimantan Barat;4405;1336;446;221;39798;16533;7857;4526
Kalimantan Tengah;2628;836;240;135;26152;10059;4974;3059
Kalimantan Selatan;2929;615;195;126;31091;9724;4833;3943
Kalimantan Timur;1895;657;222;216;26744;10969;4864;5119
Kalimantan Utara;479;183;62;29;6273;2816;1400;877
Sulawesi Utara;2215;724;226;184;19079;9379;4890;4293
Sulawesi Tengah;2909;849;225;184;28077;11860;5517;4027
Sulawesi Selatan;6392;1676;581;419;72173;30756;15350;10369
Sulawesi Tenggara;2324;767;297;157;23634;12301;7176;3458
Gorontalo;923;337;67;56;8650;4238;2057;1914
Sulawesi Barat;1325;374;88;133;13334;5417;2115;2337
Maluku;1793;665;282;113;17670;9338;6227;2563
Maluku Utara;1310;493;210;139;11341;6225;3625;2072
Papua Barat;1072;313;124;54;8604;4171;2407;1315
Papua;2563;706;242;136;19378;8875;2782;3067
